stable_candidate_id,game_id,category,suspected_native_label,suspected_native_index,suspected_native_order,supporting_source_media_ids,supporting_timestamps,extraction_confidence,primary_review_status,second_verification_status,production_status,recapture_status,issues
FC26_RESEARCH_FC26_FACE_EYES_EYES_23,ea-sports-fc-26,Eyes,Eyes 23,23,23,GFM_MEDIA_FC26_0C758EB69716,20,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYES_EYES_116,ea-sports-fc-26,Eyes,Eyes 116,116,116,GFM_MEDIA_FC26_0C758EB69716,30,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_268,ea-sports-fc-26,Eyebrows,Eyebrows 268,268,268,GFM_MEDIA_FC26_0C758EB69716,0,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_304,ea-sports-fc-26,Eyebrows,Eyebrows 304,304,304,GFM_MEDIA_FC26_0C758EB69716,25,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_1004,ea-sports-fc-26,Eyebrows,Eyebrows 1004,1004,1004,GFM_MEDIA_FC26_0C758EB69716,40,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_115,ea-sports-fc-26,Eyebrows,Eyebrows 115,115,115,GFM_MEDIA_FC26_0C758EB69716,105,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_EYEBROWS_EYEBROWS_3,ea-sports-fc-26,Eyebrows,Eyebrows 3,3,3,GFM_MEDIA_FC26_0C758EB69716,220,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_NOSE_NOSE_203,ea-sports-fc-26,Nose,Nose 203,203,203,GFM_MEDIA_FC26_0C758EB69716,40,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_NOSE_NOSE_226,ea-sports-fc-26,Nose,Nose 226,226,226,GFM_MEDIA_FC26_0C758EB69716,45,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_NOSE_NOSE_1004,ea-sports-fc-26,Nose,Nose 1004,1004,1004,GFM_MEDIA_FC26_0C758EB69716,50,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_NOSE_NOSE_116,ea-sports-fc-26,Nose,Nose 116,116,116,GFM_MEDIA_FC26_0C758EB69716,55,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_NOSE_NOSE_1002,ea-sports-fc-26,Nose,Nose 1002,1002,1002,GFM_MEDIA_FC26_0C758EB69716,60,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_NOSE_NOSE_294,ea-sports-fc-26,Nose,Nose 294,294,294,GFM_MEDIA_FC26_0C758EB69716,75,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_226,ea-sports-fc-26,Mouth,Mouth 226,226,226,GFM_MEDIA_FC26_0C758EB69716,60,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_304,ea-sports-fc-26,Mouth,Mouth 304,304,304,GFM_MEDIA_FC26_0C758EB69716,65,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_241,ea-sports-fc-26,Mouth,Mouth 241,241,241,GFM_MEDIA_FC26_0C758EB69716,70,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_1001,ea-sports-fc-26,Mouth,Mouth 1001,1001,1001,GFM_MEDIA_FC26_0C758EB69716,75,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_MOUTH_MOUTH_170,ea-sports-fc-26,Mouth,Mouth 170,170,170,GFM_MEDIA_FC26_0C758EB69716,80,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_TEETH_TEETH_6,ea-sports-fc-26,Teeth,Teeth 6,6,6,GFM_MEDIA_FC26_0C758EB69716,80,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_FACE_TEETH_TEETH_2,ea-sports-fc-26,Teeth,Teeth 2,2,2,GFM_MEDIA_FC26_0C758EB69716,85,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_COLOUR_BLACK,ea-sports-fc-26,Hair Colour,Black,,,GFM_MEDIA_FC26_0C758EB69716,90,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_COLOUR_MEDIUM_BROWN,ea-sports-fc-26,Hair Colour,Medium Brown,,,GFM_MEDIA_FC26_0C758EB69716,100,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_COLOUR_PASTEL_PINK,ea-sports-fc-26,Hair Colour,Pastel Pink,,,GFM_MEDIA_FC26_0C758EB69716,110,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_COLOUR_PINK,ea-sports-fc-26,Hair Colour,Pink,,,GFM_MEDIA_FC26_0C758EB69716,180,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_COLOUR_GREY,ea-sports-fc-26,Hair Colour,Grey,,,GFM_MEDIA_FC26_0C758EB69716,190,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_COLOUR_PERIWINKLE,ea-sports-fc-26,Hair Colour,Periwinkle,,,GFM_MEDIA_FC26_0C758EB69716,210,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_MEDIUM,ea-sports-fc-26,Hair Style group,Medium,,,GFM_MEDIA_FC26_0C758EB69716,90,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_SHORT,ea-sports-fc-26,Hair Style group,Short,,,GFM_MEDIA_FC26_0C758EB69716,120,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_GROUP_LONG,ea-sports-fc-26,Hair Style group,Long,,,GFM_MEDIA_FC26_0C758EB69716,145,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_30,ea-sports-fc-26,Hair Style,Hair Style 30,30,30,GFM_MEDIA_FC26_0C758EB69716,90,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_504,ea-sports-fc-26,Hair Style,Hair Style 504,504,504,GFM_MEDIA_FC26_0C758EB69716,105,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_396,ea-sports-fc-26,Hair Style,Hair Style 396,396,396,GFM_MEDIA_FC26_0C758EB69716,115,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_392,ea-sports-fc-26,Hair Style,Hair Style 392,392,392,GFM_MEDIA_FC26_0C758EB69716,120,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_543,ea-sports-fc-26,Hair Style,Hair Style 543,543,543,GFM_MEDIA_FC26_0C758EB69716,125,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_93,ea-sports-fc-26,Hair Style,Hair Style 93,93,93,GFM_MEDIA_FC26_0C758EB69716,130,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_431,ea-sports-fc-26,Hair Style,Hair Style 431,431,431,GFM_MEDIA_FC26_0C758EB69716,135,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_65,ea-sports-fc-26,Hair Style,Hair Style 65,65,65,GFM_MEDIA_FC26_0C758EB69716,140,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_233,ea-sports-fc-26,Hair Style,Hair Style 233,233,233,GFM_MEDIA_FC26_0C758EB69716,145,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_184,ea-sports-fc-26,Hair Style,Hair Style 184,184,184,GFM_MEDIA_FC26_0C758EB69716,150,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_62,ea-sports-fc-26,Hair Style,Hair Style 62,62,62,GFM_MEDIA_FC26_0C758EB69716,155,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_285,ea-sports-fc-26,Hair Style,Hair Style 285,285,285,GFM_MEDIA_FC26_0C758EB69716,165,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_444,ea-sports-fc-26,Hair Style,Hair Style 444,444,444,GFM_MEDIA_FC26_0C758EB69716,180,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_32,ea-sports-fc-26,Hair Style,Hair Style 32,32,32,GFM_MEDIA_FC26_0C758EB69716,195,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_500,ea-sports-fc-26,Hair Style,Hair Style 500,500,500,GFM_MEDIA_FC26_0C758EB69716,205,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_STYLE_HAIR_STYLE_421,ea-sports-fc-26,Hair Style,Hair Style 421,421,421,GFM_MEDIA_FC26_0C758EB69716,210,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_FACIAL_HAIR_COLOUR_GOLDEN,ea-sports-fc-26,Eyebrow & Facial Hair Colour,Golden,,,GFM_MEDIA_FC26_0C758EB69716,90,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_FACIAL_HAIR_COLOUR_HONEY,ea-sports-fc-26,Eyebrow & Facial Hair Colour,Honey,,,GFM_MEDIA_FC26_0C758EB69716,170,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_FACIAL_HAIR_COLOUR_PINK,ea-sports-fc-26,Eyebrow & Facial Hair Colour,Pink,,,GFM_MEDIA_FC26_0C758EB69716,180,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_FACIAL_HAIR_COLOUR_GREY,ea-sports-fc-26,Eyebrow & Facial Hair Colour,Grey,,,GFM_MEDIA_FC26_0C758EB69716,190,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_FACIAL_HAIR_COLOUR_PERIWINKLE,ea-sports-fc-26,Eyebrow & Facial Hair Colour,Periwinkle,,,GFM_MEDIA_FC26_0C758EB69716,205,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_SHAPE_TOP_STRAIGHT,ea-sports-fc-26,"Eyebrow shape selector, first row",Straight,,,GFM_MEDIA_FC26_0C758EB69716,200,probable,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_SHAPE_TOP_S_SHAPED,ea-sports-fc-26,"Eyebrow shape selector, first row",'S' Shaped,,,GFM_MEDIA_FC26_0C758EB69716,180,probable,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_EYEBROW_SHAPE_BOTTOM_LOW_ARCH,ea-sports-fc-26,"Eyebrow shape selector, second row",Low Arch,,,GFM_MEDIA_FC26_0C758EB69716,180,probable,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_288,ea-sports-fc-26,Facial Hair,Facial Hair 288,288,288,GFM_MEDIA_FC26_0C758EB69716,200,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_38,ea-sports-fc-26,Facial Hair,Facial Hair 38,38,38,GFM_MEDIA_FC26_0C758EB69716,205,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_37,ea-sports-fc-26,Facial Hair,Facial Hair 37,37,37,GFM_MEDIA_FC26_0C758EB69716,210,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_27,ea-sports-fc-26,Facial Hair,Facial Hair 27,27,27,GFM_MEDIA_FC26_0C758EB69716,215,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_285,ea-sports-fc-26,Facial Hair,Facial Hair 285,285,285,GFM_MEDIA_FC26_0C758EB69716,220,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_239,ea-sports-fc-26,Facial Hair,Facial Hair 239,239,239,GFM_MEDIA_FC26_0C758EB69716,230,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
FC26_RESEARCH_FC26_HAIR_FACIAL_HAIR_FACIAL_HAIR_16,ea-sports-fc-26,Facial Hair,Facial Hair 16,16,16,GFM_MEDIA_FC26_0C758EB69716,225,verified,NEEDS_PRIMARY_REVIEW,NOT_VERIFIED,NOT_PRODUCTION_DATA,CATEGORY_BOUNDARY_RECAPTURE_REQUIRED,COMPLETE_SELECTOR_BOUNDARIES_NOT_PROVEN
